שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
הפלאה - קונטרס אחרון (הלכות כתובות).txt,אוצריא/הלכה/שולחן ערוך/מפרשים/הפלאה - קונטרס אחרון (הלכות כתובות).txt,Dicta,1278
ילקוט הגרשוני אורח חיים א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ילקוט הגרשוני אורח חיים א.txt,Dicta,1188
דעת תורה על שולחן ערוך יוד חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/דעת תורה על שולחן ערוך יוד חלק א.txt,Dicta,1531
‏‏אוצרות יוסף יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/‏‏אוצרות יוסף יורה דעה.txt,Dicta,391
פעמוני זהב .txt,אוצריא/הלכה/שולחן ערוך/מפרשים/פעמוני זהב .txt,Dicta,3036
מטה יהונתן על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/מטה יהונתן על שולחן ערוך אורח חיים.txt,Dicta,181
ראשון לציון על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ראשון לציון על שולחן ערוך יורה דעה.txt,Dicta,344
חידושי מהראל על שחיטה וטריפות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי מהראל על שחיטה וטריפות.txt,Dicta,1452
חמודי דניאל.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חמודי דניאל.txt,Dicta,423
סדרי טהרה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/סדרי טהרה.txt,Dicta,1270
בית מאיר על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך אורח חיים.txt,Dicta,1945
בית מאיר על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך יורה דעה.txt,Dicta,2113
חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק א.txt,Dicta,2002
חידושי הרימ על שולחן ערוך אבן העזר.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך אבן העזר.txt,Dicta,1865
חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרימ/חידושי הרימ על שולחן ערוך חושן משפט חלק ב.txt,Dicta,1542
‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קצות החושן/‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,Dicta,500
אמרי בינה על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך יורה דעה.txt,Dicta,964
אמרי בינה על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך אורח חיים.txt,Dicta,870
מהריל (מנהגים).txt,אוצריא/הלכה/ראשונים/מהריל (מנהגים).txt,Dicta,1762
הרוקח.txt,אוצריא/הלכה/ראשונים/הרוקח.txt,Dicta,1250
מטה משה.txt,אוצריא/הלכה/ראשונים/מטה משה.txt,Dicta,2964
הלכות ברכות להריטבא.txt,אוצריא/הלכה/ראשונים/הלכות ברכות להריטבא.txt,Dicta,386
השגות הרזה על בעלי הנפש.txt,אוצריא/הלכה/ראשונים/השגות הרזה על בעלי הנפש.txt,Dicta,111
ספר העיטור.txt,אוצריא/הלכה/ראשונים/ספר העיטור.txt,Dicta,814
המקנה על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/המקנה על קידושין.txt,Dicta,1596
גרש ירחים.txt,אוצריא/תלמוד בבלי/אחרונים/גרש ירחים.txt,Dicta,2703
חידוד הלכות על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/חידוד הלכות על נדה.txt,Dicta,464
תורת גיטין על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/תורת גיטין על גיטין.txt,Dicta,358
אגודות אזוב מדברי.txt,אוצריא/תלמוד בבלי/אחרונים/אגודות אזוב מדברי.txt,Dicta,2366
קובץ הערות.txt,אוצריא/תלמוד בבלי/אחרונים/קובץ הערות.txt,Dicta,1712
חידושי מהראל על השס.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי מהראל על השס.txt,Dicta,156
שערי תורה חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורה חלק א.txt,Dicta,1352
כפות תמרים על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/כפות תמרים על סוכה.txt,Dicta,506
בית יעקב על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/בית יעקב על כתובות.txt,Dicta,748
מעיני החכמה על סדר נזיקין.txt,אוצריא/תלמוד בבלי/אחרונים/מעיני החכמה על סדר נזיקין.txt,Dicta,2233
ישמח משה על השס.txt,אוצריא/תלמוד בבלי/אחרונים/ישמח משה על השס.txt,Dicta,504
שמחת יום טוב.txt,אוצריא/תלמוד בבלי/אחרונים/שמחת יום טוב.txt,Dicta,1131
תפארת יעקב על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/תפארת יעקב על גיטין.txt,Dicta,4589
דבש תמר - ב (ראש).txt,אוצריא/תלמוד בבלי/אחרונים/דבש תמר - ב (ראש).txt,Dicta,3747
תקנת עזרא (מעילה תנינא).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה תנינא).txt,Dicta,387
תקנת עזרא (מעילה).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה).txt,Dicta,664
תקנת עזרא (מעילה תיקון חשוב).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה תיקון חשוב).txt,Dicta,533
ראש יוסף על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על פסחים.txt,Dicta,865
