שם הקובץ,נתיב הקובץ,תיקיית המקור
"בני בנימין על משנה תורה, הלכות שבת.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות שבת.txt",sefaria
"בני בנימין על משנה תורה, הלכות חמץ ומצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות חמץ ומצה.txt",sefaria
"בני בנימין על משנה תורה, הלכות מגילה וחנוכה.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות מגילה וחנוכה.txt",sefaria
"בני בנימין על משנה תורה, הלכות תעניות.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות תעניות.txt",sefaria
"בני בנימין על משנה תורה, הלכות שקלים.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות שקלים.txt",sefaria
"בני בנימין על משנה תורה, הלכות שופר וסוכה ולולב.txt","אוצריא/הלכה/משנה תורה/מפרשים/בני בנימין/ספר זמנים/בני בנימין על משנה תורה, הלכות שופר וסוכה ולולב.txt",sefaria
"משנה למלך על משנה תורה, הלכות סוטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נשים/משנה למלך על משנה תורה, הלכות סוטה.txt",sefaria
"משנה למלך על משנה תורה, הלכות גירושין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נשים/משנה למלך על משנה תורה, הלכות גירושין.txt",sefaria
"משנה למלך על משנה תורה, הלכות יבום וחליצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נשים/משנה למלך על משנה תורה, הלכות יבום וחליצה.txt",sefaria
"משנה למלך על משנה תורה, הלכות נערה בתולה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נשים/משנה למלך על משנה תורה, הלכות נערה בתולה.txt",sefaria
"משנה למלך על משנה תורה, הלכות אישות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נשים/משנה למלך על משנה תורה, הלכות אישות.txt",sefaria
"משנה למלך על משנה תורה, הלכות נדרים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר הפלאה/משנה למלך על משנה תורה, הלכות נדרים.txt",sefaria
"משנה למלך על משנה תורה, הלכות ערכים וחרמין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר הפלאה/משנה למלך על משנה תורה, הלכות ערכים וחרמין.txt",sefaria
"משנה למלך על משנה תורה, הלכות שבועות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר הפלאה/משנה למלך על משנה תורה, הלכות שבועות.txt",sefaria
"משנה למלך על משנה תורה, הלכות נזירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר הפלאה/משנה למלך על משנה תורה, הלכות נזירות.txt",sefaria
"משנה למלך על משנה תורה, הלכות שאלה ופיקדון.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר משפטים/משנה למלך על משנה תורה, הלכות שאלה ופיקדון.txt",sefaria
"משנה למלך על משנה תורה, הלכות מלווה ולווה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר משפטים/משנה למלך על משנה תורה, הלכות מלווה ולווה.txt",sefaria
"משנה למלך על משנה תורה, הלכות שכירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר משפטים/משנה למלך על משנה תורה, הלכות שכירות.txt",sefaria
"משנה למלך על משנה תורה, הלכות נחלות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר משפטים/משנה למלך על משנה תורה, הלכות נחלות.txt",sefaria
"משנה למלך על משנה תורה, הלכות טוען ונטען.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר משפטים/משנה למלך על משנה תורה, הלכות טוען ונטען.txt",sefaria
"משנה למלך על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר מדע/משנה למלך על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"משנה למלך על משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר מדע/משנה למלך על משנה תורה, הלכות דעות.txt",sefaria
"משנה למלך על משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר מדע/משנה למלך על משנה תורה, הלכות תלמוד תורה.txt",sefaria
"משנה למלך על משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר מדע/משנה למלך על משנה תורה, הלכות יסודי התורה.txt",sefaria
"משנה למלך על משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר מדע/משנה למלך על משנה תורה, הלכות תשובה.txt",sefaria
"משנה למלך על משנה תורה, הלכות איסורי ביאה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קדושה/משנה למלך על משנה תורה, הלכות איסורי ביאה.txt",sefaria
"משנה למלך על משנה תורה, הלכות מאכלות אסורות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קדושה/משנה למלך על משנה תורה, הלכות מאכלות אסורות.txt",sefaria
"משנה למלך על משנה תורה, הלכות שחיטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קדושה/משנה למלך על משנה תורה, הלכות שחיטה.txt",sefaria
"משנה למלך על משנה תורה, הלכות מעשרות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות מעשרות.txt",sefaria
"משנה למלך על משנה תורה, הלכות שמיטה ויובל.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות שמיטה ויובל.txt",sefaria
"משנה למלך על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt",sefaria
"משנה למלך על משנה תורה, הלכות כלאים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות כלאים.txt",sefaria
"משנה למלך על משנה תורה, הלכות מעשר שני ונטע רבעי.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות מעשר שני ונטע רבעי.txt",sefaria
"משנה למלך על משנה תורה, הלכות תרומות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות תרומות.txt",sefaria
"משנה למלך על משנה תורה, הלכות מתנות עניים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זרעים/משנה למלך על משנה תורה, הלכות מתנות עניים.txt",sefaria
"משנה למלך על משנה תורה, הלכות גניבה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נזיקין/משנה למלך על משנה תורה, הלכות גניבה.txt",sefaria
"משנה למלך על משנה תורה, הלכות רוצח ושמירת נפש.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נזיקין/משנה למלך על משנה תורה, הלכות רוצח ושמירת נפש.txt",sefaria
"משנה למלך על משנה תורה, הלכות גזילה ואבידה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נזיקין/משנה למלך על משנה תורה, הלכות גזילה ואבידה.txt",sefaria
"משנה למלך על משנה תורה, הלכות חובל ומזיק.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נזיקין/משנה למלך על משנה תורה, הלכות חובל ומזיק.txt",sefaria
"משנה למלך על משנה תורה, הלכות נזקי ממון.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר נזיקין/משנה למלך על משנה תורה, הלכות נזקי ממון.txt",sefaria
"משנה למלך על משנה תורה, הלכות קריאת שמע.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות קריאת שמע.txt",sefaria
"משנה למלך על משנה תורה, הלכות ברכות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות ברכות.txt",sefaria
"משנה למלך על משנה תורה, הלכות ציצית.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות ציצית.txt",sefaria
"משנה למלך על משנה תורה, הלכות תפילה וברכת כהנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות תפילה וברכת כהנים.txt",sefaria
"משנה למלך על משנה תורה, הלכות מילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות מילה.txt",sefaria
"משנה למלך על משנה תורה, הלכות ספר תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר אהבה/משנה למלך על משנה תורה, הלכות ספר תורה.txt",sefaria
"משנה למלך על משנה תורה, הלכות מכירה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קניין/משנה למלך על משנה תורה, הלכות מכירה.txt",sefaria
"משנה למלך על משנה תורה, הלכות עבדים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קניין/משנה למלך על משנה תורה, הלכות עבדים.txt",sefaria
"משנה למלך על משנה תורה, הלכות שלוחין ושותפין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קניין/משנה למלך על משנה תורה, הלכות שלוחין ושותפין.txt",sefaria
"משנה למלך על משנה תורה, הלכות שכנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קניין/משנה למלך על משנה תורה, הלכות שכנים.txt",sefaria
"משנה למלך על משנה תורה, הלכות זכייה ומתנה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קניין/משנה למלך על משנה תורה, הלכות זכייה ומתנה.txt",sefaria
"משנה למלך על משנה תורה, הלכות שגגות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות שגגות.txt",sefaria
"משנה למלך על משנה תורה, הלכות מחוסרי כפרה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות מחוסרי כפרה.txt",sefaria
"משנה למלך על משנה תורה, הלכות קרבן פסח.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות קרבן פסח.txt",sefaria
"משנה למלך על משנה תורה, הלכות בכורות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות בכורות.txt",sefaria
"משנה למלך על משנה תורה, הלכות חגיגה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות חגיגה.txt",sefaria
"משנה למלך על משנה תורה, הלכות תמורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר קורבנות/משנה למלך על משנה תורה, הלכות תמורה.txt",sefaria
"משנה למלך על משנה תורה, הלכות מטמאי משכב ומושב.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות מטמאי משכב ומושב.txt",sefaria
"משנה למלך על משנה תורה, הלכות מקוואות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות מקוואות.txt",sefaria
"משנה למלך על משנה תורה, הלכות פרה אדומה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות פרה אדומה.txt",sefaria
"משנה למלך על משנה תורה, הלכות שאר אבות הטומאות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות שאר אבות הטומאות.txt",sefaria
"משנה למלך על משנה תורה, הלכות טומאת מת.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות טומאת מת.txt",sefaria
"משנה למלך על משנה תורה, הלכות טומאת צרעת.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות טומאת צרעת.txt",sefaria
"משנה למלך על משנה תורה, הלכות טומאת אוכלים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות טומאת אוכלים.txt",sefaria
"משנה למלך על משנה תורה, הלכות כלים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר טהרה/משנה למלך על משנה תורה, הלכות כלים.txt",sefaria
"משנה למלך על משנה תורה, הלכות פסולי המוקדשין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות פסולי המוקדשין.txt",sefaria
"משנה למלך על משנה תורה, הלכות עבודת יום הכפורים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות עבודת יום הכפורים.txt",sefaria
"משנה למלך על משנה תורה, הלכות מעילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות מעילה.txt",sefaria
"משנה למלך על משנה תורה, הלכות ביאת מקדש.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות ביאת מקדש.txt",sefaria
"משנה למלך על משנה תורה, הלכות תמידים ומוספין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות תמידים ומוספין.txt",sefaria
"משנה למלך על משנה תורה, הלכות איסורי המזבח.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות איסורי המזבח.txt",sefaria
"משנה למלך על משנה תורה, הלכות מעשה הקרבנות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות מעשה הקרבנות.txt",sefaria
"משנה למלך על משנה תורה, הלכות בית הבחירה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות בית הבחירה.txt",sefaria
"משנה למלך על משנה תורה, הלכות כלי המקדש והעובדין בו.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר עבודה/משנה למלך על משנה תורה, הלכות כלי המקדש והעובדין בו.txt",sefaria
"משנה למלך על משנה תורה, הלכות שביתת עשור.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות שביתת עשור.txt",sefaria
"משנה למלך על משנה תורה, הלכות חמץ ומצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות חמץ ומצה.txt",sefaria
"משנה למלך על משנה תורה, הלכות שבת.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות שבת.txt",sefaria
"משנה למלך על משנה תורה, הלכות לולב.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות לולב.txt",sefaria
"משנה למלך על משנה תורה, הלכות עירובין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות עירובין.txt",sefaria
"משנה למלך על משנה תורה, הלכות שקלים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות שקלים.txt",sefaria
"משנה למלך על משנה תורה, הלכות מגילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות מגילה.txt",sefaria
"משנה למלך על משנה תורה, הלכות יום טוב.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות יום טוב.txt",sefaria
"משנה למלך על משנה תורה, הלכות תעניות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר זמנים/משנה למלך על משנה תורה, הלכות תעניות.txt",sefaria
"משנה למלך על משנה תורה, הלכות סנהדרין.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר שופטים/משנה למלך על משנה תורה, הלכות סנהדרין.txt",sefaria
"משנה למלך על משנה תורה, הלכות עדות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר שופטים/משנה למלך על משנה תורה, הלכות עדות.txt",sefaria
"משנה למלך על משנה תורה, הלכות ממרים.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר שופטים/משנה למלך על משנה תורה, הלכות ממרים.txt",sefaria
"משנה למלך על משנה תורה, הלכות מלכים ומלחמות.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר שופטים/משנה למלך על משנה תורה, הלכות מלכים ומלחמות.txt",sefaria
"משנה למלך על משנה תורה, הלכות אבל.txt","אוצריא/הלכה/משנה תורה/מפרשים/משנה למלך/ספר שופטים/משנה למלך על משנה תורה, הלכות אבל.txt",sefaria
"סדר משנה על משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר מדע/סדר משנה על משנה תורה, הלכות תלמוד תורה.txt",sefaria
"סדר משנה על משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר מדע/סדר משנה על משנה תורה, הלכות דעות.txt",sefaria
"סדר משנה על משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר מדע/סדר משנה על משנה תורה, הלכות יסודי התורה.txt",sefaria
"סדר משנה על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר מדע/סדר משנה על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"סדר משנה על משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר מדע/סדר משנה על משנה תורה, הלכות תשובה.txt",sefaria
"סדר משנה על משנה תורה, הלכות שבת.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר זמנים/סדר משנה על משנה תורה, הלכות שבת.txt",sefaria
"סדר משנה על משנה תורה, הלכות שביתת עשור.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר זמנים/סדר משנה על משנה תורה, הלכות שביתת עשור.txt",sefaria
"סדר משנה על משנה תורה, הלכות חמץ ומצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/סדר משנה/ספר זמנים/סדר משנה על משנה תורה, הלכות חמץ ומצה.txt",sefaria
"כסף משנה על משנה תורה, הלכות אישות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נשים/כסף משנה על משנה תורה, הלכות אישות.txt",sefaria
"כסף משנה על משנה תורה, הלכות נערה בתולה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נשים/כסף משנה על משנה תורה, הלכות נערה בתולה.txt",sefaria
"כסף משנה על משנה תורה, הלכות גירושין.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נשים/כסף משנה על משנה תורה, הלכות גירושין.txt",sefaria
"כסף משנה על משנה תורה, הלכות יבום וחליצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נשים/כסף משנה על משנה תורה, הלכות יבום וחליצה.txt",sefaria
"כסף משנה על משנה תורה, הלכות סוטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נשים/כסף משנה על משנה תורה, הלכות סוטה.txt",sefaria
"כסף משנה על משנה תורה, הלכות נזירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר הפלאה/כסף משנה על משנה תורה, הלכות נזירות.txt",sefaria
"כסף משנה על משנה תורה, הלכות שבועות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר הפלאה/כסף משנה על משנה תורה, הלכות שבועות.txt",sefaria
"כסף משנה על משנה תורה, הלכות ערכים וחרמין.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר הפלאה/כסף משנה על משנה תורה, הלכות ערכים וחרמין.txt",sefaria
"כסף משנה על משנה תורה, הלכות נדרים.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר הפלאה/כסף משנה על משנה תורה, הלכות נדרים.txt",sefaria
"כסף משנה על משנה תורה, הלכות נחלות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר משפטים/כסף משנה על משנה תורה, הלכות נחלות.txt",sefaria
"כסף משנה על משנה תורה, הלכות שאלה ופיקדון.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר משפטים/כסף משנה על משנה תורה, הלכות שאלה ופיקדון.txt",sefaria
"כסף משנה על משנה תורה, הלכות מלווה ולווה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר משפטים/כסף משנה על משנה תורה, הלכות מלווה ולווה.txt",sefaria
"כסף משנה על משנה תורה, הלכות שכירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר משפטים/כסף משנה על משנה תורה, הלכות שכירות.txt",sefaria
"כסף משנה על משנה תורה, הלכות טוען ונטען.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר משפטים/כסף משנה על משנה תורה, הלכות טוען ונטען.txt",sefaria
"כסף משנה על משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר מדע/כסף משנה על משנה תורה, הלכות תלמוד תורה.txt",sefaria
"כסף משנה על משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר מדע/כסף משנה על משנה תורה, הלכות תשובה.txt",sefaria
"כסף משנה על משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר מדע/כסף משנה על משנה תורה, הלכות יסודי התורה.txt",sefaria
"כסף משנה על משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר מדע/כסף משנה על משנה תורה, הלכות דעות.txt",sefaria
"כסף משנה על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר מדע/כסף משנה על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"כסף משנה על משנה תורה, הלכות שחיטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר קדושה/כסף משנה על משנה תורה, הלכות שחיטה.txt",sefaria
"כסף משנה על משנה תורה, הלכות מאכלות אסורות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר קדושה/כסף משנה על משנה תורה, הלכות מאכלות אסורות.txt",sefaria
"כסף משנה על משנה תורה, הלכות איסורי ביאה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר קדושה/כסף משנה על משנה תורה, הלכות איסורי ביאה.txt",sefaria
"כסף משנה על משנה תורה, הלכות מתנות עניים.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות מתנות עניים.txt",sefaria
"כסף משנה על משנה תורה, הלכות שמיטה ויובל.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות שמיטה ויובל.txt",sefaria
"כסף משנה על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt",sefaria
"כסף משנה על משנה תורה, הלכות כלאים.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות כלאים.txt",sefaria
"כסף משנה על משנה תורה, הלכות תרומות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות תרומות.txt",sefaria
"כסף משנה על משנה תורה, הלכות מעשרות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות מעשרות.txt",sefaria
"כסף משנה על משנה תורה, הלכות מעשר שני ונטע רבעי.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר זרעים/כסף משנה על משנה תורה, הלכות מעשר שני ונטע רבעי.txt",sefaria
"כסף משנה על משנה תורה, הלכות רוצח ושמירת נפש.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נזיקין/כסף משנה על משנה תורה, הלכות רוצח ושמירת נפש.txt",sefaria
"כסף משנה על משנה תורה, הלכות גזילה ואבידה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נזיקין/כסף משנה על משנה תורה, הלכות גזילה ואבידה.txt",sefaria
"כסף משנה על משנה תורה, הלכות גניבה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נזיקין/כסף משנה על משנה תורה, הלכות גניבה.txt",sefaria
"כסף משנה על משנה תורה, הלכות נזקי ממון.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נזיקין/כסף משנה על משנה תורה, הלכות נזקי ממון.txt",sefaria
"כסף משנה על משנה תורה, הלכות חובל ומזיק.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר נזיקין/כסף משנה על משנה תורה, הלכות חובל ומזיק.txt",sefaria
"כסף משנה על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר אהבה/כסף משנה על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",sefaria
"כסף משנה על משנה תורה, הלכות תפילה וברכת כהנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר אהבה/כסף משנה על משנה תורה, הלכות תפילה וברכת כהנים.txt",sefaria
"כסף משנה על משנה תורה, הלכות ציצית.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר אהבה/כסף משנה על משנה תורה, הלכות ציצית.txt",sefaria
"כסף משנה על משנה תורה, הלכות ברכות.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר אהבה/כסף משנה על משנה תורה, הלכות ברכות.txt",sefaria
"כסף משנה על משנה תורה, הלכות מילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/כסף משנה/ספר אהבה/כסף משנה על משנה תורה, הלכות מילה.txt",sefaria
