שם הקובץ,נתיב הקובץ,תיקיית המקור
תקנת עזרא (מעילה).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה).txt,Dicta
תקנת עזרא (מעילה תיקון חשוב).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה תיקון חשוב).txt,Dicta
קרן אורה על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על מועד קטן.txt,Dicta
קרן אורה על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על עירובין.txt,Dicta
קרן אורה על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על שבת.txt,Dicta
קרן אורה על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על תענית.txt,Dicta
קרן אורה על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מנחות.txt,Dicta
קרן אורה על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על זבחים.txt,Dicta
קרן אורה דיני טריפות על מסכת חולין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה דיני טריפות על מסכת חולין.txt,Dicta
קרן אורה על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר קדשים/קרן אורה על מעילה.txt,Dicta
קרן אורה ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר זרעים/קרן אורה ברכות.txt,Dicta
קרן אורה על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נדרים.txt,Dicta
קרן אורה על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נזיר.txt,Dicta
קרן אורה על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על יבמות.txt,Dicta
קרן אורה על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נזיקין/קרן אורה על סנהדרין.txt,Dicta
ליקוטי מהריל על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ליקוטי מהריל/סדר נשים/ליקוטי מהריל על כתובות.txt,Dicta
ליקוטי מהריל על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ליקוטי מהריל/סדר נשים/ליקוטי מהריל על קידושין.txt,Dicta
נחלת דוד על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא מציעא.txt,Dicta
נחלת דוד על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא קמא.txt,Dicta
נחלת דוד על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/נחלת דוד/נחלת דוד על בבא בתרא.txt,Dicta
אבן העוזר על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על בבא בתרא.txt,Dicta
אבן העוזר על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על סוכה.txt,Dicta
אבן העוזר על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על גיטין.txt,Dicta
