displayName,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,category,source,author,printLocation,underwentBerelUnflagging,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
אהל דוד מסכתות שונות,Acharonim on Talmud Bavli,1867,oheldovidmasechetotshonot,Uzhgorod,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דייטש, דוד בן מנחם מנדל",אונגואר,,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__nikud_meteg_files.zip,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__ocr_data_html_files.zip,Dovid Deitch,oheldovidmasechetotshonot,Ohel Dovid masechetot shonot
אהל דוד שבועות יבמות,Acharonim on Talmud Bavli,1835,oheldovidshevuotyevamot,Bratislava,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דייטש, דוד בן מנחם מנדל",ברטיסלבה,,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__nikud_meteg_files.zip,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__ocr_data_html_files.zip,Dovid Deitch,oheldovidshevuotyevamot,Melechet Choshev
אוהב ישראל,Sifrei Chasidut,1863,ohevyisrael_EGT,Z︠H︡ytomyr,https://files.dicta.org.il/ohevyisrael/ohevyisrael__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' אברהם יהושע השל מאפטא,ז'יטומיר,,https://files.dicta.org.il/ohevyisrael/ohevyisrael__nikud_meteg_files.zip,https://files.dicta.org.il/ohevyisrael/ohevyisrael__ocr_data_html_files.zip,Avraham Yehoshua Heshel,ohevyisrael,Ohev Yisrael
אוהב משפט חלק א,Responsa,1936,ohevmishpat1_EGT,Djerba,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__text_files.zip,"שו""ת",ספריית דיקטה,רבי פראג'י אלוש,ג'רבה,,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__nikud_meteg_files.zip,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__ocr_data_html_files.zip,rabbi Pargi alush,ohevmishpat1,Ohev Mishpat part 1
אוצר המלך,Commentaries on the Rambam,1939,otzarhamelech,Lodz,https://files.dicta.org.il/otzarhamelech/otzarhamelech__text_files.zip,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' צדוק מלובלין,לודז,,https://files.dicta.org.il/otzarhamelech/otzarhamelech__nikud_meteg_files.zip,https://files.dicta.org.il/otzarhamelech/otzarhamelech__ocr_data_html_files.zip,Rabbi Zadok ha-Kohen Rabinowitz of Lublin,otzarhamelech,Otzar Hamelech
אוצרות יוסף יורה דעה,Commentaries on Shulchan Aruch,1929,otzrosyosefyorehdeah,Warsaw,https://files.dicta.org.il/otzrosyosefyorehdeah/otzrosyosefyorehdeah__text_files.zip,מפרשי השולחן ערוך,ספריית דיקטה,"ענגיל, יוסף בן יהודה",ורשה,,https://files.dicta.org.il/otzrosyosefyorehdeah/otzrosyosefyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/otzrosyosefyorehdeah/otzrosyosefyorehdeah__ocr_data_html_files.zip,Yosef Engel,otzrosyosefyorehdeah,Otzros Yoset Yoreh Deah
אור הישר (בכורות),Acharonim on Talmud Bavli,1921,ohrhayasharbekhorot,Jerusalem,https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharbekhorot,Ohr Hayashar Bekhorot
אור הישר (זבחים),Acharonim on Talmud Bavli,1944,ohrhayasharzevachim,Jerusalem,https://files.dicta.org.il/ohrhayasharzevachim/ohrhayasharzevachim__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharzevachim/ohrhayasharzevachim__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharzevachim/ohrhayasharzevachim__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharzevachim,Ohr Hayashar Zevachim
אור הישר (זרעים),Commentaries on Mishnah,1946,ohrhayasharzeraim,Jerusalem,https://files.dicta.org.il/ohrhayasharzeraim/ohrhayasharzeraim__text_files.zip,מפרשים וחיבורים על המשנה,ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharzeraim/ohrhayasharzeraim__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharzeraim/ohrhayasharzeraim__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharzeraim,Ohr Hayashar Zeraim
אור הישר (חולין),Acharonim on Talmud Bavli,1931,ohrhayasharchullin,,https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,קיידאן,,https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharchullin,Ohr Hayashar Chullin
