לִקּוּטֵי הֲלָכוֹת אֶבֶן הָעֶזֶר,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
לִקּוּטֵי הֲלָכוֹת יוֹרֶה דֵּעָה,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
ליקוטי הלכות אורח חיים - ב,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
ליקוטי הלכות אורח חיים ג,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
ליקוטי הלכות חושן משפט ב,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
ספר ליקוטי הלכות אורח חיים א,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,,,,,,,
הִשְׁתַּפְּכוּת הַנֶּפֶשׁ,חסידות\ברסלב\מְשִׁיבַת נָפֶשׁ והִשְׁתַּפְּכוּת הַנֶּפֶשׁ,,,,,,,,,,,,
לִקּוּטֵי הֲלָכוֹת,חסידות\ברסלב\מְשִׁיבַת נָפֶשׁ והִשְׁתַּפְּכוּת הַנֶּפֶשׁ,,,,,,,,,,,,
מְשִׁיבַת נָפֶשׁ,חסידות\ברסלב\מְשִׁיבַת נָפֶשׁ והִשְׁתַּפְּכוּת הַנֶּפֶשׁ,,,,,,,,,,,,
חֵלֶק רִאשׁוֹן,חסידות\ברסלב\סֵפֶר יְמֵי מוֹהַרֲנַ'ת,,,,,לא לעניין,,,,,,,
חֵלֶק שֵׁנִי,חסידות\ברסלב\סֵפֶר יְמֵי מוֹהַרֲנַ'ת,,,,,לא לעניין,,,,,,,
חֵלֶק א - דִּינֵי נִדָּה,חסידות\הרב מרדכי אליהו\סֵפֶר דַּרְכֵי טָהֳרָה,,,,,?,,,,,,,
חֵלֶק ב - דִּינֵי טָהֳרַת נִדָּה,חסידות\הרב מרדכי אליהו\סֵפֶר דַּרְכֵי טָהֳרָה,,,,,?,,,,,,,
חֵלֶק ג - הִלְכוֹת צְנִיעוּת,חסידות\הרב מרדכי אליהו\סֵפֶר דַּרְכֵי טָהֳרָה,,,,,?,,,,,,,
אגרת הקדש,חסידות\חבד,,,,,הוכנס,,,,,,,
אגרת התשובה,חסידות\חבד,,,,,הוכנס,,,,,,,
ליקוטי אמרים - תניא,חסידות\חבד,,,,,קיים,,,,,,,
קונטרס אחרון,חסידות\חבד,,,,,קיים,,,,,,,
שער היחוד והאמונה,חסידות\חבד,,,,,הוכנס,"האם נמצא פעמיים, גם במחשבה?",,,,,,
"כל תיקייה זו הועפה, מטעמים מובנים",חסידות\תולדות החסידות,,,,,לא לעניין,,,,,,,
אבות דרבי נתן,מדרשים,,,,,קיים,,,,,,,
ברייתא דסדר עולם רבה,מדרשים,,,,,,,,,,,,
בתי מדרשות -מדרשים קצרים,מדרשים,,,,,הוכנס,,,,,,,
מגילת תענית,מדרשים,,,,,,,,,,,,
מדרש אגדת בראשית,מדרשים,,,,,,,,,,,,
מדרש הנעלם,מדרשים,,,,,,,,,,,,
מדרש זוטא,מדרשים,,,,,הוכנס,,,,,,,
מדרש משלי,מדרשים,,,,,,,,,,,,
מדרש פנים אחרים,מדרשים,,,,,,,,,,,,
מדרש פרקי הירידות,מדרשים,,,,,,,,,,,,
מדרש שמואל,מדרשים,,,,,,,,,,,,
מדרש תהילים,מדרשים,,,,,,,,,,,,
מסכת דרך ארץ זוטא,מדרשים,,,,,,,,,,,,
ספרא,מדרשים,,,,,,,,,,,,
פסיקתא דרב כהנא,מדרשים,,,,,,,,,,,,
פסיקתא רבתי,מדרשים,,,,,,,,,,,,
פרקי דרבי אליעזר,מדרשים,,,,,,,,,,,,
תנא דבי אליהו זוטא,מדרשים,,,,,,,,,,,,
תנא דבי אליהו רבה,מדרשים,,,,,,,,,,,,
"בתי מדרשות' = הוכנס. לברר למה יש תיקייה שלימה, וגם קובץ אחד בחוץ",,,,,,,,,,,,,
ספר דרך השם,מחשבה,,,,,קיים,,,,,,,
כתבי הרמבם,מחשבה\הרמב'ם,,,,,"הכנסתי, ממש לא בטוח שצריך",,,,,,,
"סידורי אשכנז, ספרד וע""מ = לא הכנסתי",,,,,,,,,,,,,
ברכת המזון,סידור\סידור נוסח תימן,,,,,"נראה שאין סידור תימן, אולי כדאי לברר שאמי/בלדי, ושלא מכת הכופרים שם...",,,,,,,
מנחה,סידור\סידור נוסח תימן,,,,,,,,,,,,
ערבית,סידור\סידור נוסח תימן,,,,,,,,,,,,
שחרית,סידור\סידור נוסח תימן,,,,,,,,,,,,
ספרדי ועדות המזרח,סידור\סליחות,,,,,,,,,,,,
פולין (ספרד),סידור\סליחות,,,,,,,,,,,,
הקדמה לספר הזוהר,קבלה\הרב אשלג,,,,,,,,,,,,
מבוא לספר הזהר,קבלה\הרב אשלג,,,,,,,,,,,,
מתן תורה,קבלה\הרב אשלג,,,,,,,,,,,,
פתיחה לחכמת הקבלה,קבלה\הרב אשלג,,,,,,,,,,,,
ביאור עשר ספירות,קבלה\הרב עזריאל מגירונה,,,,,,,,,,,,
גט השמות,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
וזאת ליהודה,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר אוצר עדן הגנוז,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר אור השכל,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר אמרי שפר,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר גן נעול,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר החשק,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
ספר חיי העולם הבא,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
שבע נתיבות התורה,קבלה\כתבי רבי אברהם אבולעפיא,,,,,,,,,,,,
רעיא מהימנא,קבלה\ספר הזוהר,,,,,,,,,,,,
"הזוהר המתורגם = הוסר, לא ידעתי מה לעשות",קבלה\ספר הזוהר\הזוהר המתורגם - זוהר חדש,,,,,,,,,,,,
ספר יצירה,קבלה\ספר יצירה עם מפרשים,,,,,,,,,,,,
פירוש הרי דמן עכו לספר יצירה,קבלה\ספר יצירה עם מפרשים,,,,,,,,,,,,
פירוש מעשה בראשית,קבלה\ספר יצירה עם מפרשים,,,,,,,,,,,,
