שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מכירה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קניין\אבן האזל על משנה תורה, הלכות מכירה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מלווה ולווה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר משפטים\אבן האזל על משנה תורה, הלכות מלווה ולווה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מלכים ומלחמות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר שופטים\אבן האזל על משנה תורה, הלכות מלכים ומלחמות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות ממרים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר שופטים\אבן האזל על משנה תורה, הלכות ממרים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מעילה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות מעילה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מעשה הקרבנות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות מעשה הקרבנות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות נזקי ממון",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נזיקין\אבן האזל על משנה תורה, הלכות נזקי ממון.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות נחלות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר משפטים\אבן האזל על משנה תורה, הלכות נחלות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות נערה בתולה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נשים\אבן האזל על משנה תורה, הלכות נערה בתולה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות סוטה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נשים\אבן האזל על משנה תורה, הלכות סוטה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות סנהדרין והעונשין המסורין להם",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר שופטים\אבן האזל על משנה תורה, הלכות סנהדרין והעונשין המסורין להם.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות עבדים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קניין\אבן האזל על משנה תורה, הלכות עבדים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות עבודה זרה וחוקות הגויים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר מדע\אבן האזל על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות עבודת יום הכפורים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות עבודת יום הכפורים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות עדות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר שופטים\אבן האזל על משנה תורה, הלכות עדות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות עירובין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות עירובין.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות פסולי המוקדשין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות פסולי המוקדשין.txt",,,,,,,,,,,,,,,,,,,
