שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
יכין מועד קטן,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין מועד קטן.txt,,,,,,,,,,,,,,,,,,,
יכין מכות,אחרונים,משנה,משנה\אחרונים\יכין\סדר נזיקין\יכין מכות.txt,,,,,,,,,,,,,,,,,,,
יכין מכשירין,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין מכשירין.txt,,,,,,,,,,,,,,,,,,,
יכין מנחות,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין מנחות.txt,,,,,,,,,,,,,,,,,,,
יכין מעילה,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין מעילה.txt,,,,,,,,,,,,,,,,,,,
יכין מעשר שני,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין מעשר שני.txt,,,,,,,,,,,,,,,,,,,
יכין מעשרות,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין מעשרות.txt,,,,,,,,,,,,,,,,,,,
יכין מקואות,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין מקואות.txt,,,,,,,,,,,,,,,,,,,
יכין נגעים,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין נגעים.txt,,,,,,,,,,,,,,,,,,,
יכין נדה,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין נדה.txt,,,,,,,,,,,,,,,,,,,
יכין נדרים,אחרונים,משנה,משנה\אחרונים\יכין\סדר נשים\יכין נדרים.txt,,,,,,,,,,,,,,,,,,,
יכין נזיר,אחרונים,משנה,משנה\אחרונים\יכין\סדר נשים\יכין נזיר.txt,,,,,,,,,,,,,,,,,,,
יכין סוטה,אחרונים,משנה,משנה\אחרונים\יכין\סדר נשים\יכין סוטה.txt,,,,,,,,,,,,,,,,,,,
יכין סוכה,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין סוכה.txt,,,,,,,,,,,,,,,,,,,
יכין סנהדרין,אחרונים,משנה,משנה\אחרונים\יכין\סדר נזיקין\יכין סנהדרין.txt,,,,,,,,,,,,,,,,,,,
יכין עבודה זרה,אחרונים,משנה,משנה\אחרונים\יכין\סדר נזיקין\יכין עבודה זרה.txt,,,,,,,,,,,,,,,,,,,
יכין עדיות,אחרונים,משנה,משנה\אחרונים\יכין\סדר נזיקין\יכין עדיות.txt,,,,,,,,,,,,,,,,,,,
יכין עוקצים,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין עוקצים.txt,,,,,,,,,,,,,,,,,,,
יכין עירובין,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין עירובין.txt,,,,,,,,,,,,,,,,,,,
יכין ערכין,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין ערכין.txt,,,,,,,,,,,,,,,,,,,
יכין ערלה,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין ערלה.txt,,,,,,,,,,,,,,,,,,,
יכין פאה,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין פאה.txt,,,,,,,,,,,,,,,,,,,
יכין פסחים,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין פסחים.txt,,,,,,,,,,,,,,,,,,,
יכין פרה,אחרונים,משנה,משנה\אחרונים\יכין\סדר טהרות\יכין פרה.txt,,,,,,,,,,,,,,,,,,,
יכין קידושין,אחרונים,משנה,משנה\אחרונים\יכין\סדר נשים\יכין קידושין.txt,,,,,,,,,,,,,,,,,,,
יכין קינים,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין קינים.txt,,,,,,,,,,,,,,,,,,,
יכין ראש השנה,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין ראש השנה.txt,,,,,,,,,,,,,,,,,,,
יכין שבועות,אחרונים,משנה,משנה\אחרונים\יכין\סדר נזיקין\יכין שבועות.txt,,,,,,,,,,,,,,,,,,,
יכין שביעית,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין שביעית.txt,,,,,,,,,,,,,,,,,,,
יכין שבת,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין שבת.txt,,,,,,,,,,,,,,,,,,,
יכין שקלים,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין שקלים.txt,,,,,,,,,,,,,,,,,,,
יכין תמורה,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין תמורה.txt,,,,,,,,,,,,,,,,,,,
יכין תמיד,אחרונים,משנה,משנה\אחרונים\יכין\סדר קדשים\יכין תמיד.txt,,,,,,,,,,,,,,,,,,,
יכין תענית,אחרונים,משנה,משנה\אחרונים\יכין\סדר מועד\יכין תענית.txt,,,,,,,,,,,,,,,,,,,
יכין תרומות,אחרונים,משנה,משנה\אחרונים\יכין\סדר זרעים\יכין תרומות.txt,,,,,,,,,,,,,,,,,,,
ילקוט הגרשוני אורח חיים א,אחרונים,הלכה,הלכה\שולחן ערוך\מפרשים\ילקוט הגרשוני אורח חיים א.txt,,,,,,,,,,,,,,,,,,,
ילקוט שמעוני על התורה,חזל,מדרש,מדרש\אגדה\ילקוט שמעוני על התורה.txt,,,,,,,,,,,,,,,,,,,
ילקוט שמעוני על נך,חזל,מדרש,מדרש\אגדה\ילקוט שמעוני על נך.txt,,,,,,,,,,,,,,,,,,,
ים של שלמה על ביצה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\ים של שלמה\סדר מועד\ים של שלמה על ביצה.txt,,,,,,,,,,,,,,,,,,,
ים של שלמה על גיטין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\ים של שלמה\סדר נשים\ים של שלמה על גיטין.txt,,,,,,,,,,,,,,,,,,,
ים של שלמה על חולין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\ים של שלמה\סדר נשים\ים של שלמה על חולין.txt,,,,,,,,,,,,,,,,,,,
ים של שלמה על כתובות,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\ים של שלמה\סדר נשים\ים של שלמה על כתובות.txt,,,,,,,,,,,,,,,,,,,
ים של שלמה על קידושין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\ים של שלמה\סדר נשים\ים של שלמה על קידושין.txt,,,,,,,,,,,,,,,,,,,
ימי מוהרנת חלק ראשון,אחרונים,חסידות,חסידות\ברסלב\ספר ימי מוהרנת\ימי מוהרנת חלק ראשון.txt,,,,,,,,,,,,,,,,,,,
ימי מוהרנת חלק שני,אחרונים,חסידות,חסידות\ברסלב\ספר ימי מוהרנת\ימי מוהרנת חלק שני.txt,,,,,,,,,,,,,,,,,,,
יסוד היראה,ראשונים,ספרי מוסר,ספרי מוסר\ראשונים\יסוד היראה.txt,,,,,,,,,,,,,,,,,,,
יסוד התשובה,ראשונים,ספרי מוסר,ספרי מוסר\ראשונים\יסוד התשובה.txt,,,,,,,,,,,,,,,,,,,
יסוד ושורש העבודה,אחרונים,ספרי מוסר,ספרי מוסר\אחרונים\יסוד ושורש העבודה.txt,,,,,,,,,,,,,,,,,,,
יסוד מורא וסוד תורה,ראשונים,מחשבת ישראל,מחשבת ישראל\ראשונים\יסוד מורא וסוד תורה.txt,,,,,,,,,,,,,,,,,,,
יעבץ על סדר עולם רבה,אחרונים,מדרש,מדרש\אגדה\סדר עולם רבה\מפרשים\יעבץ על סדר עולם רבה.txt,,,,,,,,,,,,,,,,,,,
יערות דבש,אחרונים,ספרי מוסר,ספרי מוסר\אחרונים\יערות דבש.txt,,,,,,,,,,,,,,,,,,,
יפה ענף על איכה רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה ענף\יפה ענף על איכה רבה.txt,,,,,,,,,,,,,,,,,,,
יפה ענף על אסתר רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה ענף\יפה ענף על אסתר רבה.txt,,,,,,,,,,,,,,,,,,,
יפה ענף על רות רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה ענף\יפה ענף על רות רבה.txt,,,,,,,,,,,,,,,,,,,
יפה קול על שיר השירים רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה קול\יפה קול על שיר השירים רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על במדבר רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על במדבר רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על בראשית רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על בראשית רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על דברים רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על דברים רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על ויקרא רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על ויקרא רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על קהלת רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על קהלת רבה.txt,,,,,,,,,,,,,,,,,,,
יפה תואר על שמות רבה,אחרונים,מדרש,מדרש\אגדה\מדרש רבה\מפרשים\יפה תואר\יפה תואר על שמות רבה.txt,,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות אבל",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר שופטים\יצחק ירנן על משנה תורה, הלכות אבל.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות איסורי ביאה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קדושה\יצחק ירנן על משנה תורה, הלכות איסורי ביאה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות איסורי המזבח",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות איסורי המזבח.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות אישות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נשים\יצחק ירנן על משנה תורה, הלכות אישות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ביאת מקדש",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות ביאת מקדש.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות בית הבחירה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות בית הבחירה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות בכורות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות בכורות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ברכות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות ברכות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות גזילה ואבידה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נזיקין\יצחק ירנן על משנה תורה, הלכות גזילה ואבידה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות גירושין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נשים\יצחק ירנן על משנה תורה, הלכות גירושין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות דעות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר מדע\יצחק ירנן על משנה תורה, הלכות דעות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות זכייה ומתנה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קניין\יצחק ירנן על משנה תורה, הלכות זכייה ומתנה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות חגיגה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות חגיגה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות חמץ ומצה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות חמץ ומצה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות טומאת אוכלים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר טהרה\יצחק ירנן על משנה תורה, הלכות טומאת אוכלים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות טומאת מת",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר טהרה\יצחק ירנן על משנה תורה, הלכות טומאת מת.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות טומאת צרעת",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר טהרה\יצחק ירנן על משנה תורה, הלכות טומאת צרעת.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות יבום וחליצה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נשים\יצחק ירנן על משנה תורה, הלכות יבום וחליצה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות יסודי התורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר מדע\יצחק ירנן על משנה תורה, הלכות יסודי התורה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות כלאים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות כלאים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות כלי המקדש והעובדין בו",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות כלי המקדש והעובדין בו.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מאכלות אסורות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קדושה\יצחק ירנן על משנה תורה, הלכות מאכלות אסורות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מגילה וחנוכה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות מגילה וחנוכה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מחוסרי כפרה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות מחוסרי כפרה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מילה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות מילה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מכירה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קניין\יצחק ירנן על משנה תורה, הלכות מכירה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מלווה ולווה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר משפטים\יצחק ירנן על משנה תורה, הלכות מלווה ולווה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מלכים ומלחמות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר שופטים\יצחק ירנן על משנה תורה, הלכות מלכים ומלחמות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ממרים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר שופטים\יצחק ירנן על משנה תורה, הלכות ממרים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מעילה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות מעילה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מעשה הקרבנות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות מעשה הקרבנות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מעשר שני ונטע רבעי",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות מעשר שני ונטע רבעי.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מעשרות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות מעשרות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מקואות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר טהרה\יצחק ירנן על משנה תורה, הלכות מקואות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות מתנות עניים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות מתנות עניים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות נדרים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר הפלאה\יצחק ירנן על משנה תורה, הלכות נדרים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות נזירות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר הפלאה\יצחק ירנן על משנה תורה, הלכות נזירות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות נערה בתולה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נשים\יצחק ירנן על משנה תורה, הלכות נערה בתולה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות סוטה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נשים\יצחק ירנן על משנה תורה, הלכות סוטה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות סנהדרין והעונשין המסורין להם",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר שופטים\יצחק ירנן על משנה תורה, הלכות סנהדרין והעונשין המסורין להם.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות עבדים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קניין\יצחק ירנן על משנה תורה, הלכות עבדים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות עבודה זרה וחוקות הגויים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר מדע\יצחק ירנן על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות עבודת יום הכפורים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות עבודת יום הכפורים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות עדות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר שופטים\יצחק ירנן על משנה תורה, הלכות עדות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות עירובין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות עירובין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ערכים וחרמין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר הפלאה\יצחק ירנן על משנה תורה, הלכות ערכים וחרמין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות פסולי המוקדשין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות פסולי המוקדשין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות ציצית",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות ציצית.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות קידוש החודש",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות קידוש החודש.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות קרבן פסח",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות קרבן פסח.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות קריאת שמע",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות קריאת שמע.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות רוצח ושמירת נפש",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר נזיקין\יצחק ירנן על משנה תורה, הלכות רוצח ושמירת נפש.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שאר אבות הטומאות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר טהרה\יצחק ירנן על משנה תורה, הלכות שאר אבות הטומאות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שבועות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר הפלאה\יצחק ירנן על משנה תורה, הלכות שבועות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שביתת עשור",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות שביתת עשור.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שבת",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות שבת.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שגגות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות שגגות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שופר וסוכה ולולב",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות שופר וסוכה ולולב.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שחיטה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קדושה\יצחק ירנן על משנה תורה, הלכות שחיטה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שכירות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר משפטים\יצחק ירנן על משנה תורה, הלכות שכירות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שכנים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קניין\יצחק ירנן על משנה תורה, הלכות שכנים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שלוחין ושותפין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קניין\יצחק ירנן על משנה תורה, הלכות שלוחין ושותפין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שמיטה ויובל",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות שמיטה ויובל.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות שקלים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות שקלים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תלמוד תורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר מדע\יצחק ירנן על משנה תורה, הלכות תלמוד תורה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תמורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר קורבנות\יצחק ירנן על משנה תורה, הלכות תמורה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תמידים ומוספין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר עבודה\יצחק ירנן על משנה תורה, הלכות תמידים ומוספין.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תעניות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זמנים\יצחק ירנן על משנה תורה, הלכות תעניות.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תפילה וברכת כהנים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות תפילה וברכת כהנים.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תפילין ומזוזה וספר תורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר אהבה\יצחק ירנן על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",,,,,,,,,,,,,,,,,,,
"יצחק ירנן על משנה תורה, הלכות תרומות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\יצחק ירנן\ספר זרעים\יצחק ירנן על משנה תורה, הלכות תרומות.txt",,,,,,,,,,,,,,,,,,,
